transaction_id,channel,geography,amount_usd,anomaly_score,is_fraud
TXN-2026-00038,POS Terminal,Jawa Timur,271.6,0.184,0
TXN-2026-00039,Mobile Banking,Jawa Barat,347.99,0.238,0
TXN-2026-00040,ATM Withdrawal,Jawa Barat,403.39,0.425,0
TXN-2026-00041,E-Commerce Online,Luar Jawa,425.59,0.342,0
TXN-2026-00042,E-Commerce Online,Jawa Barat,227.0,0.42,0
TXN-2026-00043,ATM Withdrawal,DKI Jakarta,204.09,0.047,0
TXN-2026-00044,Mobile Banking,Jawa Timur,219.88,0.263,0
TXN-2026-00045,E-Commerce Online,Jawa Timur,321.99,0.09,0
TXN-2026-00046,Mobile Banking,DKI Jakarta,257.71,0.429,0
TXN-2026-00047,E-Commerce Online,Jawa Timur,291.61,0.055,0
TXN-2026-00048,E-Commerce Online,Luar Jawa,325.61,0.429,0
TXN-2026-00049,ATM Withdrawal,Jawa Barat,334.13,0.278,0
TXN-2026-00050,E-Commerce Online,DKI Jakarta,212.93,0.326,0
TXN-2026-00051,POS Terminal,Jawa Timur,350.66,0.389,0
TXN-2026-00052,E-Commerce Online,Luar Jawa,399.26,0.176,0
TXN-2026-00053,Mobile Banking,Jawa Barat,338.11,0.058,0
TXN-2026-00054,ATM Withdrawal,Luar Jawa,274.84,0.131,0
TXN-2026-00055,E-Commerce Online,Jawa Timur,399.73,0.281,0
TXN-2026-00056,E-Commerce Online,Jawa Timur,318.64,0.185,0
TXN-2026-00057,E-Commerce Online,DKI Jakarta,289.65,0.07,0
TXN-2026-00058,POS Terminal,DKI Jakarta,458.71,0.254,0
TXN-2026-00059,E-Commerce Online,Jawa Timur,332.02,0.518,1
TXN-2026-00060,E-Commerce Online,DKI Jakarta,356.2,0.043,0
TXN-2026-00061,Mobile Banking,Jawa Barat,175.5,0.52,1
TXN-2026-00062,ATM Withdrawal,Jawa Timur,189.15,0.201,0
TXN-2026-00063,ATM Withdrawal,Luar Jawa,502.61,0.464,1
TXN-2026-00064,POS Terminal,DKI Jakarta,180.74,0.175,0
TXN-2026-00065,ATM Withdrawal,Luar Jawa,415.22,0.131,0
TXN-2026-00066,POS Terminal,Luar Jawa,262.04,0.237,0
TXN-2026-00067,ATM Withdrawal,Luar Jawa,376.4,0.312,0
TXN-2026-00068,Mobile Banking,Jawa Barat,357.53,0.349,0
TXN-2026-00069,ATM Withdrawal,DKI Jakarta,236.93,0.032,0
TXN-2026-00070,POS Terminal,Jawa Barat,222.51,0.106,0
TXN-2026-00071,E-Commerce Online,Jawa Barat,341.92,0.269,0
TXN-2026-00072,ATM Withdrawal,Luar Jawa,272.55,0.124,0
TXN-2026-00073,ATM Withdrawal,Jawa Timur,524.68,0.447,0
TXN-2026-00074,E-Commerce Online,Luar Jawa,353.72,0.413,0
TXN-2026-00075,Mobile Banking,Jawa Timur,471.98,0.518,1
TXN-2026-00076,POS Terminal,Jawa Timur,200.29,0.065,0
TXN-2026-00077,POS Terminal,Jawa Timur,382.53,0.289,0
TXN-2026-00078,ATM Withdrawal,Jawa Timur,194.86,0.202,0
TXN-2026-00079,E-Commerce Online,DKI Jakarta,260.49,0.112,0
TXN-2026-00080,Mobile Banking,DKI Jakarta,190.11,0.385,0
TXN-2026-00081,Mobile Banking,Jawa Timur,399.19,0.381,0
TXN-2026-00082,E-Commerce Online,DKI Jakarta,286.12,0.108,0
TXN-2026-00083,POS Terminal,DKI Jakarta,489.07,0.333,0
TXN-2026-00084,E-Commerce Online,Luar Jawa,305.05,0.027,0
TXN-2026-00085,POS Terminal,Jawa Barat,387.6,0.072,0
TXN-2026-00086,ATM Withdrawal,Jawa Barat,315.37,0.091,0
TXN-2026-00087,POS Terminal,Jawa Timur,189.76,0.853,1
TXN-2026-00088,E-Commerce Online,Jawa Barat,254.76,0.095,0
TXN-2026-00089,E-Commerce Online,DKI Jakarta,327.54,0.235,0
TXN-2026-00090,Mobile Banking,DKI Jakarta,241.1,0.238,0
TXN-2026-00091,ATM Withdrawal,Jawa Barat,247.85,0.316,0
TXN-2026-00092,ATM Withdrawal,Jawa Timur,336.1,0.082,0
TXN-2026-00093,ATM Withdrawal,Luar Jawa,462.27,0.315,0
TXN-2026-00094,POS Terminal,Jawa Timur,271.9,0.902,1
TXN-2026-00095,POS Terminal,DKI Jakarta,220.09,0.24,0
TXN-2026-00096,E-Commerce Online,Jawa Barat,181.26,0.945,1
TXN-2026-00097,Mobile Banking,Luar Jawa,223.91,0.073,0
TXN-2026-00098,ATM Withdrawal,DKI Jakarta,329.96,0.923,1
TXN-2026-00099,E-Commerce Online,Jawa Barat,423.86,0.454,1
TXN-2026-00100,E-Commerce Online,Luar Jawa,406.67,0.288,0
TXN-2026-00101,Mobile Banking,Jawa Timur,366.32,0.418,0
TXN-2026-00102,POS Terminal,Luar Jawa,334.92,0.299,0
TXN-2026-00103,ATM Withdrawal,Luar Jawa,296.44,0.071,0
TXN-2026-00104,POS Terminal,DKI Jakarta,272.18,0.451,1
TXN-2026-00105,Mobile Banking,DKI Jakarta,279.36,0.109,0
TXN-2026-00106,ATM Withdrawal,DKI Jakarta,271.15,0.226,0
TXN-2026-00107,E-Commerce Online,Jawa Timur,345.66,0.4,0
TXN-2026-00108,ATM Withdrawal,Luar Jawa,297.76,0.188,0
TXN-2026-00109,E-Commerce Online,DKI Jakarta,429.19,0.482,1
TXN-2026-00110,POS Terminal,Jawa Timur,444.3,0.379,0
TXN-2026-00111,POS Terminal,Jawa Timur,307.15,0.422,0
TXN-2026-00112,POS Terminal,Luar Jawa,200.08,0.011,0
TXN-2026-00113,Mobile Banking,Jawa Barat,386.48,0.363,0
TXN-2026-00114,ATM Withdrawal,Jawa Barat,408.36,0.145,0
TXN-2026-00115,ATM Withdrawal,Luar Jawa,326.14,0.144,0
TXN-2026-00116,POS Terminal,DKI Jakarta,209.74,0.093,0
TXN-2026-00117,Mobile Banking,Jawa Barat,384.29,0.207,0
TXN-2026-00118,POS Terminal,Jawa Timur,302.83,0.019,0
TXN-2026-00119,ATM Withdrawal,Luar Jawa,248.99,0.259,0
TXN-2026-00120,ATM Withdrawal,Luar Jawa,190.61,0.526,1
TXN-2026-00121,E-Commerce Online,DKI Jakarta,479.44,0.386,0
TXN-2026-00122,POS Terminal,Luar Jawa,490.41,0.473,1
TXN-2026-00123,Mobile Banking,Jawa Timur,332.39,0.197,0
TXN-2026-00124,E-Commerce Online,Jawa Timur,132.57,0.809,1
TXN-2026-00125,E-Commerce Online,Jawa Barat,264.59,0.134,0
TXN-2026-00126,ATM Withdrawal,Jawa Barat,375.55,0.138,0
TXN-2026-00127,Mobile Banking,Luar Jawa,439.17,0.377,0
TXN-2026-00128,E-Commerce Online,Luar Jawa,266.55,0.255,0
TXN-2026-00129,Mobile Banking,Jawa Barat,288.8,0.006,0
TXN-2026-00130,E-Commerce Online,Luar Jawa,267.09,0.197,0
TXN-2026-00131,POS Terminal,DKI Jakarta,288.74,0.418,0
TXN-2026-00132,POS Terminal,Luar Jawa,448.02,0.327,0
TXN-2026-00133,E-Commerce Online,DKI Jakarta,311.39,0.043,0
TXN-2026-00134,ATM Withdrawal,Jawa Timur,201.25,0.23,0
TXN-2026-00135,Mobile Banking,Jawa Timur,255.45,0.097,0
TXN-2026-00136,E-Commerce Online,Jawa Barat,447.25,0.409,0
TXN-2026-00137,ATM Withdrawal,Jawa Barat,508.28,0.56,1
TXN-2026-00138,Mobile Banking,Jawa Barat,443.48,0.297,0
TXN-2026-00139,ATM Withdrawal,DKI Jakarta,485.93,0.466,1
TXN-2026-00140,ATM Withdrawal,Luar Jawa,263.26,0.42,0
TXN-2026-00141,Mobile Banking,DKI Jakarta,220.88,0.515,1
TXN-2026-00142,Mobile Banking,Luar Jawa,136.48,0.475,1
TXN-2026-00143,Mobile Banking,Jawa Timur,297.45,0.161,0
TXN-2026-00144,E-Commerce Online,Jawa Barat,357.6,0.392,0
TXN-2026-00145,E-Commerce Online,Jawa Barat,457.11,0.437,0
TXN-2026-00146,E-Commerce Online,Jawa Barat,180.56,0.35,0
TXN-2026-00147,Mobile Banking,Jawa Timur,232.84,0.125,0
TXN-2026-00148,Mobile Banking,DKI Jakarta,153.27,0.587,1
TXN-2026-00149,Mobile Banking,Luar Jawa,297.22,0.078,0
TXN-2026-00150,Mobile Banking,DKI Jakarta,325.13,0.008,0
TXN-2026-00151,E-Commerce Online,Jawa Timur,430.09,0.274,0
TXN-2026-00152,E-Commerce Online,DKI Jakarta,410.18,0.303,0
TXN-2026-00153,Mobile Banking,Luar Jawa,327.58,0.023,0
TXN-2026-00154,E-Commerce Online,Luar Jawa,490.48,0.476,1
TXN-2026-00155,E-Commerce Online,Luar Jawa,313.3,0.003,0
TXN-2026-00156,POS Terminal,Jawa Timur,209.64,0.605,1
TXN-2026-00157,Mobile Banking,Jawa Barat,236.05,0.674,1
TXN-2026-00158,Mobile Banking,Luar Jawa,326.13,0.327,0
TXN-2026-00159,Mobile Banking,DKI Jakarta,283.3,0.414,0
TXN-2026-00160,Mobile Banking,Jawa Barat,181.74,0.242,0
TXN-2026-00161,Mobile Banking,Jawa Timur,382.69,0.162,0
TXN-2026-00162,POS Terminal,Jawa Barat,415.45,0.371,0
TXN-2026-00163,ATM Withdrawal,DKI Jakarta,188.64,0.03,0
TXN-2026-00164,POS Terminal,Luar Jawa,387.98,0.38,0
TXN-2026-00165,POS Terminal,Luar Jawa,374.35,0.0,0
TXN-2026-00166,POS Terminal,Luar Jawa,348.22,0.293,0
TXN-2026-00167,Mobile Banking,Luar Jawa,255.67,0.109,0
TXN-2026-00168,ATM Withdrawal,DKI Jakarta,224.18,0.227,0
TXN-2026-00169,Mobile Banking,Luar Jawa,415.07,0.232,0
TXN-2026-00170,E-Commerce Online,Jawa Timur,179.09,0.175,0
TXN-2026-00171,Mobile Banking,Jawa Timur,126.02,0.141,0
TXN-2026-00172,E-Commerce Online,Jawa Timur,339.57,0.258,0
TXN-2026-00173,E-Commerce Online,Jawa Timur,120.96,1.0,1
TXN-2026-00174,Mobile Banking,DKI Jakarta,297.62,0.237,0
TXN-2026-00175,Mobile Banking,Jawa Barat,198.13,0.282,0
TXN-2026-00176,POS Terminal,Jawa Barat,319.25,0.39,0
TXN-2026-00177,E-Commerce Online,Jawa Timur,223.16,0.422,0
TXN-2026-00178,POS Terminal,Jawa Timur,358.14,0.194,0
TXN-2026-00179,E-Commerce Online,Jawa Barat,55.94,0.944,1
TXN-2026-00180,POS Terminal,Jawa Barat,391.74,0.344,0
TXN-2026-00181,ATM Withdrawal,Jawa Timur,195.09,0.026,0
TXN-2026-00182,Mobile Banking,Jawa Barat,108.98,0.909,1
TXN-2026-00183,E-Commerce Online,Jawa Barat,303.99,0.209,0
TXN-2026-00184,Mobile Banking,Luar Jawa,317.4,0.111,0
TXN-2026-00185,E-Commerce Online,Luar Jawa,343.96,0.35,0
TXN-2026-00186,ATM Withdrawal,Luar Jawa,351.08,0.219,0
TXN-2026-00187,Mobile Banking,Jawa Barat,298.37,0.431,0
TXN-2026-00188,POS Terminal,Luar Jawa,293.91,0.004,0
TXN-2026-00189,POS Terminal,Jawa Timur,350.0,0.325,0
TXN-2026-00190,ATM Withdrawal,DKI Jakarta,255.69,0.754,1
TXN-2026-00191,E-Commerce Online,Jawa Barat,154.51,0.526,1
TXN-2026-00192,E-Commerce Online,Jawa Timur,473.55,0.466,1
TXN-2026-00193,E-Commerce Online,Luar Jawa,138.27,0.473,1
TXN-2026-00194,POS Terminal,Jawa Timur,366.89,0.078,0
TXN-2026-00195,ATM Withdrawal,Jawa Timur,424.94,0.08,0
TXN-2026-00196,E-Commerce Online,Luar Jawa,310.19,0.188,0
TXN-2026-00197,Mobile Banking,Jawa Timur,396.58,0.217,0
TXN-2026-00198,POS Terminal,Luar Jawa,270.29,0.027,0
TXN-2026-00199,ATM Withdrawal,DKI Jakarta,286.5,0.279,0
TXN-2026-00200,POS Terminal,DKI Jakarta,508.74,0.319,0
TXN-2026-00201,ATM Withdrawal,Luar Jawa,340.46,0.267,0
TXN-2026-00202,E-Commerce Online,Luar Jawa,350.72,0.403,0
TXN-2026-00203,E-Commerce Online,DKI Jakarta,288.21,0.429,0
TXN-2026-00204,POS Terminal,DKI Jakarta,508.67,0.437,0
TXN-2026-00205,E-Commerce Online,Jawa Timur,275.1,0.074,0
TXN-2026-00206,ATM Withdrawal,Luar Jawa,314.27,0.03,0
TXN-2026-00207,ATM Withdrawal,Luar Jawa,400.82,0.327,0
TXN-2026-00208,Mobile Banking,Jawa Barat,389.7,0.407,0
TXN-2026-00209,Mobile Banking,Luar Jawa,269.61,0.054,0
TXN-2026-00210,ATM Withdrawal,DKI Jakarta,197.81,0.619,1
TXN-2026-00211,ATM Withdrawal,Jawa Timur,415.72,0.522,1
TXN-2026-00212,POS Terminal,Jawa Barat,412.42,0.484,1
TXN-2026-00213,Mobile Banking,Jawa Timur,335.82,0.422,0
TXN-2026-00214,E-Commerce Online,Jawa Barat,124.11,0.556,1
TXN-2026-00215,E-Commerce Online,Luar Jawa,317.02,0.094,0
TXN-2026-00216,ATM Withdrawal,Luar Jawa,374.13,0.15,0
TXN-2026-00217,E-Commerce Online,Jawa Timur,230.55,0.027,0
TXN-2026-00218,E-Commerce Online,Luar Jawa,142.85,0.641,1
TXN-2026-00219,E-Commerce Online,Luar Jawa,179.92,0.137,0
TXN-2026-00220,ATM Withdrawal,Luar Jawa,299.89,0.334,0
TXN-2026-00221,E-Commerce Online,Luar Jawa,381.32,0.333,0
TXN-2026-00222,POS Terminal,DKI Jakarta,319.37,0.086,0
TXN-2026-00223,E-Commerce Online,Jawa Barat,161.79,0.678,1
TXN-2026-00224,Mobile Banking,DKI Jakarta,467.42,0.519,1
TXN-2026-00225,POS Terminal,Jawa Timur,181.53,0.353,0
TXN-2026-00226,E-Commerce Online,DKI Jakarta,232.05,0.492,1
TXN-2026-00227,Mobile Banking,Jawa Barat,76.39,0.141,0
TXN-2026-00228,POS Terminal,DKI Jakarta,405.23,0.151,0
TXN-2026-00229,Mobile Banking,Luar Jawa,261.39,0.218,0
TXN-2026-00230,E-Commerce Online,DKI Jakarta,329.67,0.005,0
TXN-2026-00231,POS Terminal,DKI Jakarta,191.11,0.802,1
TXN-2026-00232,POS Terminal,Jawa Timur,430.49,0.349,0
TXN-2026-00233,ATM Withdrawal,Luar Jawa,187.03,0.536,1
TXN-2026-00234,POS Terminal,Jawa Timur,80.42,0.836,1
TXN-2026-00235,POS Terminal,Luar Jawa,287.5,0.058,0
TXN-2026-00236,ATM Withdrawal,DKI Jakarta,226.11,0.246,0
TXN-2026-00237,ATM Withdrawal,Luar Jawa,337.38,0.276,0
TXN-2026-00238,E-Commerce Online,Luar Jawa,317.75,0.298,0
TXN-2026-00239,POS Terminal,Jawa Timur,259.25,0.132,0
TXN-2026-00240,ATM Withdrawal,Jawa Barat,356.34,0.36,0
TXN-2026-00241,ATM Withdrawal,Jawa Timur,388.4,0.118,0
TXN-2026-00242,Mobile Banking,Luar Jawa,148.16,0.854,1
TXN-2026-00243,ATM Withdrawal,Jawa Barat,189.64,0.158,0
TXN-2026-00244,POS Terminal,Jawa Barat,322.68,0.121,0
TXN-2026-00245,E-Commerce Online,Luar Jawa,393.48,0.368,0
TXN-2026-00246,E-Commerce Online,DKI Jakarta,289.23,0.228,0
TXN-2026-00247,E-Commerce Online,Luar Jawa,111.31,0.537,1
TXN-2026-00248,ATM Withdrawal,Jawa Timur,137.82,0.59,1
TXN-2026-00249,Mobile Banking,DKI Jakarta,92.07,0.086,0
TXN-2026-00250,POS Terminal,DKI Jakarta,274.39,0.189,0
TXN-2026-00251,Mobile Banking,Jawa Timur,409.24,0.36,0
TXN-2026-00252,ATM Withdrawal,Luar Jawa,250.18,0.192,0
TXN-2026-00253,Mobile Banking,Jawa Barat,267.62,0.103,0
TXN-2026-00254,ATM Withdrawal,Jawa Timur,353.74,0.155,0
TXN-2026-00255,E-Commerce Online,Luar Jawa,470.72,0.469,1
TXN-2026-00256,ATM Withdrawal,Jawa Timur,362.8,0.434,0
TXN-2026-00257,Mobile Banking,Jawa Barat,225.39,0.252,0
TXN-2026-00258,ATM Withdrawal,Jawa Timur,282.77,0.06,0
TXN-2026-00259,ATM Withdrawal,DKI Jakarta,274.56,0.109,0
TXN-2026-00260,Mobile Banking,Luar Jawa,224.19,0.239,0
TXN-2026-00261,POS Terminal,Jawa Timur,352.15,0.19,0
TXN-2026-00262,POS Terminal,DKI Jakarta,237.27,0.068,0
TXN-2026-00263,E-Commerce Online,Jawa Timur,313.98,0.111,0
TXN-2026-00264,ATM Withdrawal,Jawa Timur,419.97,0.372,0
TXN-2026-00265,ATM Withdrawal,Jawa Timur,322.39,0.09,0
TXN-2026-00266,E-Commerce Online,Jawa Barat,245.4,0.156,0
TXN-2026-00267,E-Commerce Online,Jawa Barat,269.17,0.017,0
TXN-2026-00268,E-Commerce Online,Luar Jawa,476.42,0.47,1
TXN-2026-00269,ATM Withdrawal,Jawa Barat,148.32,0.526,1
TXN-2026-00270,Mobile Banking,Jawa Timur,318.38,0.02,0
TXN-2026-00271,ATM Withdrawal,DKI Jakarta,425.53,0.484,1
TXN-2026-00272,Mobile Banking,Jawa Barat,494.74,0.431,0
TXN-2026-00273,Mobile Banking,Jawa Barat,247.17,0.231,0
TXN-2026-00274,E-Commerce Online,DKI Jakarta,290.31,0.046,0
TXN-2026-00275,POS Terminal,Jawa Timur,279.49,0.014,0
TXN-2026-00276,Mobile Banking,Jawa Barat,374.53,0.221,0
TXN-2026-00277,E-Commerce Online,Jawa Barat,247.16,0.051,0
TXN-2026-00278,POS Terminal,Jawa Barat,254.44,0.953,1
TXN-2026-00279,ATM Withdrawal,Jawa Barat,275.95,0.311,0
TXN-2026-00280,Mobile Banking,Jawa Barat,344.63,0.019,0
TXN-2026-00281,ATM Withdrawal,Jawa Timur,104.27,0.875,1
TXN-2026-00282,E-Commerce Online,DKI Jakarta,327.9,0.249,0
TXN-2026-00283,Mobile Banking,Jawa Barat,268.32,0.411,0
TXN-2026-00284,E-Commerce Online,Jawa Barat,74.09,0.916,1
TXN-2026-00285,E-Commerce Online,Luar Jawa,301.83,0.334,0
TXN-2026-00286,Mobile Banking,Jawa Timur,265.47,0.923,1
TXN-2026-00287,Mobile Banking,Luar Jawa,184.91,0.916,1
TXN-2026-00288,Mobile Banking,Luar Jawa,285.96,0.161,0
TXN-2026-00289,POS Terminal,DKI Jakarta,137.35,0.49,1
TXN-2026-00290,ATM Withdrawal,DKI Jakarta,307.48,0.014,0
TXN-2026-00291,POS Terminal,Jawa Timur,271.24,0.07,0
TXN-2026-00292,ATM Withdrawal,Luar Jawa,448.35,0.009,0
TXN-2026-00293,POS Terminal,Jawa Timur,383.95,0.275,0
TXN-2026-00294,ATM Withdrawal,Jawa Barat,174.57,0.545,1
TXN-2026-00295,E-Commerce Online,Jawa Barat,171.53,0.445,0
TXN-2026-00296,Mobile Banking,DKI Jakarta,259.34,0.065,0
TXN-2026-00297,E-Commerce Online,DKI Jakarta,208.51,0.233,0
TXN-2026-00298,ATM Withdrawal,DKI Jakarta,236.8,0.022,0
TXN-2026-00299,E-Commerce Online,Jawa Barat,95.85,0.618,1
TXN-2026-00300,E-Commerce Online,Luar Jawa,369.66,0.367,0
